hotel_id,hotel_name,hotel_grade,n_reviews,avg_rating,cleanliness,service,comfort,condition,neighbourhood,region,locality
569056,돈키호테스테이 (Don Quixote Stay),2.0,67,6.0,7.0,7.2,6.0,6.2,8.0,0.0,서울특별시
1285467872,프로방스 호텔 (Provence Hotel),2.5,67,8.0,8.0,8.0,8.0,7.0,0.0,인천광역시,인천광역시
1285467872,프로방스 호텔 (Provence Hotel),2.5,67,8.0,8.0,8.0,8.0,7.0,0.0,인천광역시,인천광역시
569059,AM 호텔 (AM HOTEL),3.5,67,9.0,8.8,8.6,9.0,8.8,8.0,강원도,평창군
569059,AM 호텔 (AM HOTEL),3.5,67,9.0,8.8,8.6,9.0,8.8,8.0,강원도,평창군
569059,AM 호텔 (AM HOTEL),3.5,67,9.0,8.8,8.6,9.0,8.8,8.0,강원도,평창군
569059,AM 호텔 (AM HOTEL),3.5,67,9.0,8.8,8.6,9.0,8.8,8.0,강원도,평창군
569059,AM 호텔 (AM HOTEL),3.5,67,9.0,8.8,8.6,9.0,8.8,8.0,강원도,평창군
569059,AM 호텔 (AM HOTEL),3.5,67,9.0,8.8,8.6,9.0,8.8,8.0,강원도,평창군
569059,AM 호텔 (AM HOTEL),3.5,67,9.0,8.8,8.6,9.0,8.8,8.0,강원도,평창군
1449275104,르시엘펜션 (Le Ciel Pool Villa Pension),4.0,67,8.0,8.0,6.0,10.0,8.0,0.0,전라남도,여수시
1449275104,르시엘펜션 (Le Ciel Pool Villa Pension),4.0,67,8.0,8.0,6.0,10.0,8.0,0.0,전라남도,여수시
1792487136,호텔 얌 연산 (Hotel  Yam YeonSan),3.0,67,10.0,10.0,10.0,10.0,10.0,0.0,부산광역시,부산광역시
1792487136,호텔 얌 연산 (Hotel  Yam YeonSan),3.0,67,10.0,10.0,10.0,10.0,10.0,0.0,부산광역시,부산광역시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
569060,호텔 리젠트 마린 (Hotel RegentMarine),3.5,67,8.4,8.6,8.4,8.6,8.4,8.6,제주특별자치도,제주시
